Transaction Index,Actual Label,Risk Score,Risk Level,AML Pattern,Recommendation,Explanation
1043922,1,0.9545,CRITICAL,Fan-Out Layering,Freeze account and escalate immediately.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | 14230 unique receivers. | Sender deviation 64.0x. | High daily transaction count. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5027869,0,0.9399,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 4.0x. | Receiver deviation 23.9x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
1712819,0,0.9349,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 25.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2057487,0,0.9281,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 15.8x. | Receiver deviation 26.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2213151,0,0.927,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 5.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2132371,1,0.9167,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 18.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2231334,0,0.9147,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 67.9x. | Receiver deviation 46.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3275791,0,0.9038,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 33.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5013351,0,0.897,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3369507,0,0.8949,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 4.0x. | Receiver deviation 32.8x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3503051,0,0.8946,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 7.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
1542364,0,0.8843,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 4.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
4714554,0,0.8839,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 18.7x. | Receiver deviation 9.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2459459,0,0.8789,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 17.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2424404,0,0.8764,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 21.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2278302,0,0.8715,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 41.9x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5020407,0,0.8684,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 9.9x. | Receiver deviation 16.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3047991,0,0.8578,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 6.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
4976701,0,0.8548,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 10.0x. | Receiver deviation 8.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
1319408,0,0.8513,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | High-value transaction. | 15 unique receivers. | Sender deviation 27.7x. | Receiver deviation 26.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5077237,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Receiver deviation 3.3x. | Large cumulative daily transfer amount.
5077898,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Large cumulative daily transfer amount.
5078200,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Large cumulative daily transfer amount.
5077840,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5078222,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Receiver deviation 6.9x. | Large cumulative daily transfer amount.
5077778,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5077423,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Receiver deviation 3.8x. | Large cumulative daily transfer amount.
5078190,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5077496,1,0.85,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 16 unique receivers. | Large cumulative daily transfer amount.
5077903,1,0.85,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5077424,1,0.85,HIGH,Structuring / Smurfing,Escalate to AML analyst.,Cross-bank transfer detected. | Near AML reporting threshold. | 18 unique receivers. | Large cumulative daily transfer amount.
5077793,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5078147,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Receiver deviation 3.7x. | Large cumulative daily transfer amount.
5077760,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Receiver deviation 3.6x.
5077314,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Large cumulative daily transfer amount.
5078026,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers. | Large cumulative daily transfer amount.
3546050,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5078071,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Sender deviation 3.7x. | Large cumulative daily transfer amount.
5077832,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Sender deviation 3.9x. | Large cumulative daily transfer amount.
5077779,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers. | Large cumulative daily transfer amount.
5078003,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers. | Large cumulative daily transfer amount.
5077587,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 17 unique receivers. | Large cumulative daily transfer amount.
5077990,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 15 unique receivers. | Large cumulative daily transfer amount.
5077335,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers.
5077795,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Large cumulative daily transfer amount.
5077607,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers.
5077810,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected.
5077351,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 16 unique receivers. | Receiver deviation 4.8x.
5078303,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 18 unique receivers. | Sender deviation 34.7x. | Large cumulative daily transfer amount.
5077358,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Large cumulative daily transfer amount.
5078079,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Sender deviation 3.9x. | Large cumulative daily transfer amount.
5077602,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Receiver deviation 7.1x.
5078315,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Large cumulative daily transfer amount.
5078180,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Large cumulative daily transfer amount.
5077437,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 14 unique receivers. | Large cumulative daily transfer amount.
5077281,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 16 unique receivers. | Large cumulative daily transfer amount.
5077856,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Large cumulative daily transfer amount.
5077444,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Large cumulative daily transfer amount.
5077701,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Large cumulative daily transfer amount.
3997091,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5078283,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 15 unique receivers. | Receiver deviation 10.7x. | Large cumulative daily transfer amount.
5077961,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Large cumulative daily transfer amount.
5077963,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers. | Large cumulative daily transfer amount.
5077385,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5077580,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Large cumulative daily transfer amount.
5077827,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes.
5077259,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 13 unique receivers. | Receiver deviation 3.6x. | Large cumulative daily transfer amount.
5078021,1,0.8499,HIGH,Structuring / Smurfing,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Near AML reporting threshold. | Large cumulative daily transfer amount.
5077592,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Receiver deviation 7.2x.
5077345,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 17 unique receivers. | Large cumulative daily transfer amount.
2189506,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 15 unique receivers.
5078245,1,0.8499,HIGH,Fan-Out Layering,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | 17 unique receivers. | Sender deviation 4.6x. | Large cumulative daily transfer amount.
5077349,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Large cumulative daily transfer amount.
5078050,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Sender deviation 37.4x. | Large cumulative daily transfer amount.
4389792,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 13 unique receivers. | Large cumulative daily transfer amount.
5077960,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 21 unique receivers. | Receiver deviation 3.9x.
5077272,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 16 unique receivers. | Large cumulative daily transfer amount.
5077301,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 15 unique receivers. | Receiver deviation 3.8x. | Large cumulative daily transfer amount.
5078251,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 18 unique receivers.
5077938,1,0.8499,HIGH,Large Value Transfer,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | Receiver deviation 23.6x. | Large cumulative daily transfer amount.
5078181,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | 17 unique receivers. | Receiver deviation 4.0x.
5077538,1,0.8499,HIGH,No dominant AML pattern,Escalate to AML analyst.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | Receiver deviation 17.4x.
